Ligand,Binding Affinity,rmsd/ub,rmsd/lb
6UJN_Meropenem,-6.788,0.0,0.0
6UJN_Meropenem,-6.666,6.404,4.041
6UJN_Meropenem,-6.615,4.392,3.016
6UJN_Meropenem,-6.395,32.1,29.44
6UJN_Meropenem,-6.383,16.59,13.02
6UJN_Meropenem,-6.335,7.18,3.28
6UJN_Meropenem,-6.139,37.66,33.94
6UJN_Meropenem,-6.041,3.024,2.248
6UJN_Meropenem,-6.013,6.785,3.762
6UJN_Meropenem,-5.786,7.74,3.408
