Ligand,Binding Affinity,rmsd/ub,rmsd/lb
6UJN_Vancomycin_Meropenem,-6.738,0.0,0.0
6UJN_Vancomycin_Meropenem,-6.713,33.33,30.68
6UJN_Vancomycin_Meropenem,-6.685,40.41,36.79
6UJN_Vancomycin_Meropenem,-6.63,4.411,3.079
6UJN_Vancomycin_Meropenem,-6.459,6.486,4.192
6UJN_Vancomycin_Meropenem,-6.459,40.06,36.48
6UJN_Vancomycin_Meropenem,-6.418,32.08,29.43
6UJN_Vancomycin_Meropenem,-6.415,8.083,3.711
6UJN_Vancomycin_Meropenem,-6.376,55.59,50.87
6UJN_Vancomycin_Meropenem,-6.318,57.51,53.73
