"","Total","Expected","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact"
"mmu00120",46,0.59585,1,0.45595,0.78536,1,1,0.02285
"mmu00140",79,1.0233,1,0.65254,0.42688,1,1,0.00635
