Mz,RT,Mode,Adduct,Neutral_Mass,Library_Match,KEGG_ID,Compound_Name,Exact_Mass,PPM_Error,Formula,SMILES,PubChem_CID,ChEBI_ID,Consensus_Score,Consensus_Level,Pathways
357.2112,40.2289,POS,[M+NH4]+,339.17737700000004,KEGG,C11775,"N,N-dibutyl-2-(pyridin-4-yl)quinazolin-4-amine",339.179421,6.026345324190958,C21H26N4,CCCCN(CCCC)c1nc(-c2ccncc2)nc2ccccc12,,CHEBI:116147,0.8884192805485426,Medium,
358.1609,45.3501,POS,[M+Na]+,335.17168200000003,KEGG,C06176,,335.173273,4.746821063368206,,,,,0.9651907361979075,Single,
378.1989,62.9474,POS,[M+K]+,339.235742,KEGG,C06965,,339.231063,-13.792768333807375,,,,,0.4224338999715575,Single,
394.2264,62.7229,POS,[M+NH4]+,376.192577,KEGG,C09714,,376.188589,-10.60095345807261,,,,,0.6139427925156434,Single,
405.3658,80.7207,POS,[M+H]+,404.35852353312,KEGG,C05424,,404.365431,17.082530670228017,,,,,0.2750481597863189,Single,
406.1926,69.7593,POS,[M+H]+,405.18532353312,KEGG,C06917,losmapimod,405.185942,1.5263802612389703,C22H26FN3O2,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,,CHEBI:131167,1.2084171843256617,Medium,
419.3384,13.0271,POS,[M-H2O+H]+,400.320559,KEGG,C03199,"1,2-didecanoylglycerol",400.318875,-4.206628818210571,C23H44O5,CCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCC,,CHEBI:11152,0.9776022709073657,Medium,
420.2688,27.0078,POS,[M+NH4]+,402.234977,KEGG,C13154,,402.240624,14.039057573082196,,,,,0.4076565456150682,Single,
425.2152,25.8601,POS,[M+H]+,424.20792353312,KEGG,C09776,,424.209718,4.230158798267153,,,,,1.0461904721039708,Single,
428.2819,23.9729,POS,[M+NH4]+,410.248077,KEGG,C04036,,410.243341,-11.54423449018802,,,,,0.5573459305887188,Single,
444.1959,72.1634,NEG,[M+CH3COO]-,385.182049,KEGG,C16709,,385.188923,17.84610684176007,,,,,0.17923358949439594,Single,
446.2674,15.745,POS,[M+K]+,407.304242,KEGG,C08669,,407.303559,-1.676879171763925,,,,,1.1493872496941644,Single,
447.2272,27.0073,POS,[M+Na]+,424.237982,KEGG,C01844,,424.246103,19.142557584617496,,,,,0.1014465449229502,Single,
450.2238,15.5838,POS,[M+NH4]+,432.189977,KEGG,C02008,,432.193674,8.55410860207962,,,,,0.7367534838752229,Single,
450.2979,25.0491,POS,[M+H]+,449.29062353312,KEGG,C00908,,449.284949,-12.629983406775622,,,,,0.5422009955934627,Single,
454.235,7.188,POS,[M+K]+,415.271842,KEGG,C07241,fosinoprilat,415.272259,1.0041615102504378,C23H34NO5P,[H][C@@]1(C2CCCCC2)C[C@@H](C(=O)O)N(C(=O)CP(=O)(O)CCCCc2ccccc2)C1,,CHEBI:116962,1.1897503093849737,Medium,
464.3123,31.7111,POS,[M+Na]+,441.323082,KEGG,C07707,,441.320271,-6.369483298424746,,,,,0.8678310020945154,Single,
464.3123,32.4897,POS,[M+Na]+,441.323082,KEGG,C07707,,441.320271,-6.369483298424746,,,,,0.8678310020945154,Single,
468.3761,49.3158,POS,[M+NH4]+,450.342277,KEGG,C02059,,450.349781,16.6628815086421,,,,,0.25022710948147386,Single,
474.31,12.517,POS,[M+Na]+,451.320782,KEGG,C05150,,451.319878,-2.0030099123407,,,,,1.129819405259558,Single,
476.3281,10.463,POS,[M+H]+,475.32082353312,KEGG,C12786,,475.314517,-13.267950419476772,,,,,0.5039229748313936,Single,
488.2947,18.1338,POS,[M+Na]+,465.305482,KEGG,C01921,withanolide D,465.309038,7.642291220637764,C28H38O6,[H][C@@]12C[C@H]3O[C@]34[C@@H](O)C=CC(=O)[C@]4(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@@](C)(O)[C@@]1([H])CC(C)=C(C)C(=O)O1,,CHEBI:10041,0.7914625267617341,Medium,
493.2471,54.5802,POS,[M+K]+,454.283942,KEGG,C07188,withanolide D,454.283158,-1.7257928961822442,C28H38O6,[H][C@@]12C[C@H]3O[C@]34[C@@H](O)C=CC(=O)[C@]4(C)[C@@]1([H])CC[C@@]1(C)[C@@]2([H])CC[C@]1([H])[C@@](C)(O)[C@@]1([H])CC(C)=C(C)C(=O)O1,,CHEBI:10041,1.1464524262290654,Medium,
499.1255,74.4138,NEG,[M+CH3COO]-,440.111649,KEGG,C09105,,440.114104,5.578130016725946,,,,,0.9153121989964432,Single,
502.2673,44.3336,POS,[M+K]+,463.304142,KEGG,C02033,,463.300599,-7.64724438828609,,,,,0.7911653367028346,Single,
509.3374,12.2815,POS,[M+K]+,470.374242,KEGG,C14495,,470.375995,3.726819718176421,,,,,1.0263908169094147,Single,
510.2838,48.6675,POS,[M+NH4]+,492.249977,KEGG,C09237,,492.252526,5.178263319629775,,,,,0.9393042008222136,Single,
517.3006,20.2028,POS,[M+H]+,516.2933235331201,KEGG,C11991,,516.293448,0.2410778413184872,,,,,1.285535329520891,Single,
518.3239,66.4533,POS,[M+NH4]+,500.290077,KEGG,C11758,,500.298533,16.90219412451744,,,,,0.2358683525289536,Single,
518.3438,14.91,POS,[M+NH4]+,500.309977,KEGG,C08807,,500.313789,7.619276399083609,,,,,0.7928434160549834,Single,
523.2761,48.77,POS,[M+K]+,484.312942,KEGG,C08971,,484.318875,12.250343704361372,,,,,0.5149793777383176,Single,
525.2555,30.4164,POS,[M+K]+,486.292342,KEGG,C08176,,486.298139,11.920812851355953,,,,,0.5347512289186428,Single,
525.2655,22.6429,POS,[M+K]+,486.302342,KEGG,C08176,,486.298139,-8.642771455049504,,,,,0.7314337126970298,Single,
525.2655,33.9147,POS,[M+K]+,486.302342,KEGG,C08176,,486.298139,-8.642771455049504,,,,,0.7314337126970298,Single,
531.3068,19.3303,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,30.7424,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,46.481,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,52.4437,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,62.3876,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,65.1098,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,66.4747,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,67.1409,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,73.0607,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
531.3068,78.3863,POS,[M+H]+,530.29952353312,KEGG,C11992,,530.309098,18.05482836595801,,,,,0.21671029804251946,Single,
537.2714,48.5527,POS,[M-H2O+H]+,518.253559,KEGG,C04217,,518.256228,5.149988752839315,,,,,0.9210006748296412,Single,
541.4694,77.6908,POS,[M+H]+,540.46212353312,KEGG,C05430,,540.469502,13.652144264601793,,,,,0.48087134412389243,Single,
547.3373,15.6052,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,22.6885,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,31.4516,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,45.8389,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,47.8503,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,63.7218,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,64.8299,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
547.3373,77.2831,POS,[M+H]+,546.3300235331201,KEGG,C06630,,546.340398,18.98937717695725,,,,,0.1606373693825649,Single,
548.3388,22.225,POS,[M+NH4]+,530.304977,KEGG,C11992,,530.309098,7.771000044642193,,,,,0.7837399973214684,Single,
548.3388,73.3266,POS,[M+NH4]+,530.304977,KEGG,C11992,,530.309098,7.771000044642193,,,,,0.7837399973214684,Single,
550.3446,32.9914,POS,[M+NH4]+,532.310777,KEGG,C05468,,532.30699,-7.114265131604575,,,,,0.8231440921037255,Single,
550.3446,87.6402,POS,[M+NH4]+,532.310777,KEGG,C05468,,532.30699,-7.114265131604575,,,,,0.8231440921037255,Single,
550.3446,88.4175,POS,[M+NH4]+,532.310777,KEGG,C05468,,532.30699,-7.114265131604575,,,,,0.8231440921037255,Single,
553.2882,50.4261,POS,[M+H]+,552.28092353312,KEGG,C10000,,552.273656,-13.159123935631092,,,,,0.5104525638621344,Single,
555.447,79.0356,POS,[M-H2O+H]+,536.429159,KEGG,C02094,,536.438202,16.85777114890146,,,,,0.21853373106591245,Single,
561.2866,46.1381,POS,[M+Na]+,538.297382,KEGG,C09091,,538.293054,-8.040165426602032,,,,,0.767590074403878,Single,
565.3696,23.4375,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,27.3615,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,47.8257,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,50.2375,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,51.8237,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,55.2505,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,70.2336,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
565.3696,86.7864,POS,[M+H]+,564.36232353312,KEGG,C12066,,564.359694,-4.659299549968784,,,,,1.0204420270018728,Single,
569.2798,56.7269,POS,[M-H2O+H]+,550.261959,KEGG,C12111,,550.267902,10.800310475400371,,,,,0.5819813714759777,Single,
569.2798,61.8625,POS,[M-H2O+H]+,550.261959,KEGG,C12111,,550.267902,10.800310475400371,,,,,0.5819813714759777,Single,
569.3215,20.6119,POS,[M-H2O+H]+,550.303659,KEGG,C08307,,550.301602,-3.737936258272578,,,,,1.0057238245036453,Single,
569.3215,30.662,POS,[M-H2O+H]+,550.303659,KEGG,C08307,,550.301602,-3.737936258272578,,,,,1.0057238245036453,Single,
569.3215,39.4266,POS,[M-H2O+H]+,550.303659,KEGG,C08307,,550.301602,-3.737936258272578,,,,,1.0057238245036453,Single,
569.3319,66.2538,POS,[M+Na]+,546.342682,KEGG,C06630,,546.340398,-4.180526389695097,,,,,0.9991684166182943,Single,
569.3527,44.8395,POS,[M+H]+,568.3454235331201,KEGG,C11977,,568.340004,-9.535632549605449,,,,,0.7278620470236731,Single,
573.4545,67.5947,POS,[M+H]+,572.4472235331201,KEGG,C07551,,572.455308,14.12264143747495,,,,,0.45264151375150297,Single,
573.4963,67.5014,POS,[M+Na]+,550.507082,KEGG,C13864,,550.496111,-19.928898934540484,,,,,0.05426606392757094,Single,
585.2985,50.1589,POS,[M+K]+,546.335342,KEGG,C06630,,546.340398,9.254389404084058,,,,,0.6947366357549566,Single,
585.2985,56.7124,POS,[M+K]+,546.335342,KEGG,C06630,,546.340398,9.254389404084058,,,,,0.6947366357549566,Single,
585.2985,59.4275,POS,[M+K]+,546.335342,KEGG,C06630,,546.340398,9.254389404084058,,,,,0.6947366357549566,Single,
591.3669,37.1252,POS,[M+NH4]+,573.333077,KEGG,C09997,,573.331505,-2.741861691001165,,,,,1.0854882985399301,Single,
591.3669,46.8908,POS,[M+NH4]+,573.333077,KEGG,C09997,,573.331505,-2.741861691001165,,,,,1.0854882985399301,Single,
591.3669,55.5431,POS,[M+NH4]+,573.333077,KEGG,C09997,,573.331505,-2.741861691001165,,,,,1.0854882985399301,Single,
591.3669,64.0094,POS,[M+NH4]+,573.333077,KEGG,C09997,,573.331505,-2.741861691001165,,,,,1.0854882985399301,Single,
591.4093,37.5041,POS,[M+Na]+,568.420082,KEGG,C06098,,568.428031,13.984375731561988,,,,,0.41093745610628063,Single,
593.2795,86.0733,POS,[M+K]+,554.316342,KEGG,C11961,,554.324354,14.453840511178548,,,,,0.3827695693292871,Single,
593.3646,21.0406,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,30.0557,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,31.2478,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,32.3865,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,43.82,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,64.104,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,74.8378,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
593.3646,87.9519,POS,[M+H]+,592.35732353312,KEGG,C04859,,592.361133,6.431028584607524,,,,,0.9141382849235485,Single,
594.2903,89.9025,POS,[M+NH4]+,576.256477,KEGG,C09667,,576.262422,10.31658686241019,,,,,0.6310047882553885,Single,
